model_key,source_file,rate,batch_size,sum_prompt_len,max_prompt_len,sum_prompt_len_sq,duration_ms
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,843,843,710649,68.84403713047504
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,765,765,585225,63.04015591740608
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,738,738,544644,52.286514081060886
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,251,251,63001,48.07753302156925
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,506,506,256036,52.95773898251355
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,496,496,246016,37.069419864565134
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,788,788,620944,58.832106878980994
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,688,688,473344,37.36168495379388
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,778,778,605284,51.99767998419702
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,707,707,499849,53.9904348552227
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,637,637,405769,51.86108499765396
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,655,655,429025,49.265273148193955
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,459,459,210681,51.00931297056377
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,386,386,148996,50.985064124688506
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,440,440,193600,47.76992602273822
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,497,497,247009,53.64436120726168
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,466,466,217156,57.07158613950014
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,342,342,116964,47.25689999759197
